,Date,Electricity Price,Month and Year,Month,Year,Day,Datetime
0,Dec-96,12.3,Dec 96,12,1996,1,1996-12-01
1,Jan-97,11.81,Jan 97,1,1997,1,1997-01-01
2,Feb-97,11.73,Feb 97,2,1997,1,1997-02-01
3,Mar-97,12.07,Mar 97,3,1997,1,1997-03-01
4,Apr-97,11.54,Apr 97,4,1997,1,1997-04-01
5,May-97,12.03,May 97,5,1997,1,1997-05-01
6,Jun-97,12.65,Jun 97,6,1997,1,1997-06-01
7,Jul-97,12.1,Jul 97,7,1997,1,1997-07-01
8,Aug-97,12.25,Aug 97,8,1997,1,1997-08-01
9,Sep-97,12.05,Sep 97,9,1997,1,1997-09-01
10,Oct-97,12.34,Oct 97,10,1997,1,1997-10-01
11,Nov-97,11.99,Nov 97,11,1997,1,1997-11-01
12,Dec-97,12.26,Dec 97,12,1997,1,1997-12-01
13,Jan-98,11.6,Jan 98,1,1998,1,1998-01-01
14,Feb-98,11.67,Feb 98,2,1998,1,1998-02-01
15,Mar-98,11.63,Mar 98,3,1998,1,1998-03-01
16,Apr-98,11.59,Apr 98,4,1998,1,1998-04-01
17,May-98,11.7,May 98,5,1998,1,1998-05-01
18,Jun-98,11.74,Jun 98,6,1998,1,1998-06-01
19,Jul-98,11.55,Jul 98,7,1998,1,1998-07-01
20,Aug-98,11.67,Aug 98,8,1998,1,1998-08-01
21,Sep-98,11.24,Sep 98,9,1998,1,1998-09-01
22,Oct-98,11.44,Oct 98,10,1998,1,1998-10-01
23,Nov-98,11.39,Nov 98,11,1998,1,1998-11-01
24,Dec-98,11.52,Dec 98,12,1998,1,1998-12-01
25,Jan-99,10.95,Jan 99,1,1999,1,1999-01-01
26,Feb-99,11.33,Feb 99,2,1999,1,1999-02-01
27,Mar-99,11.15,Mar 99,3,1999,1,1999-03-01
28,Apr-99,11.43,Apr 99,4,1999,1,1999-04-01
29,May-99,11.38,May 99,5,1999,1,1999-05-01
30,Jun-99,11.7,Jun 99,6,1999,1,1999-06-01
31,Jul-99,11.2,Jul 99,7,1999,1,1999-07-01
32,Aug-99,11.18,Aug 99,8,1999,1,1999-08-01
33,Sep-99,11.07,Sep 99,9,1999,1,1999-09-01
34,Oct-99,11.35,Oct 99,10,1999,1,1999-10-01
35,Nov-99,11.19,Nov 99,11,1999,1,1999-11-01
36,Dec-99,10.31,Dec 99,12,1999,1,1999-12-01
37,Jan-00,10.96,Jan 00,1,2000,1,2000-01-01
38,Feb-00,10.61,Feb 00,2,2000,1,2000-02-01
39,Mar-00,10.83,Mar 00,3,2000,1,2000-03-01
40,Apr-00,11.32,Apr 00,4,2000,1,2000-04-01
41,May-00,11.25,May 00,5,2000,1,2000-05-01
42,Jun-00,11.49,Jun 00,6,2000,1,2000-06-01
43,Jul-00,11.39,Jul 00,7,2000,1,2000-07-01
44,Aug-00,11.14,Aug 00,8,2000,1,2000-08-01
45,Sep-00,11.27,Sep 00,9,2000,1,2000-09-01
46,Oct-00,11.32,Oct 00,10,2000,1,2000-10-01
47,Nov-00,11.26,Nov 00,11,2000,1,2000-11-01
48,Dec-00,11.29,Dec 00,12,2000,1,2000-12-01
49,Jan-01,11.8,Jan 01,1,2001,1,2001-01-01
50,Feb-01,11.72,Feb 01,2,2001,1,2001-02-01
51,Mar-01,11.82,Mar 01,3,2001,1,2001-03-01
52,Apr-01,12.18,Apr 01,4,2001,1,2001-04-01
53,May-01,12.2,May 01,5,2001,1,2001-05-01
54,Jun-01,12.19,Jun 01,6,2001,1,2001-06-01
55,Jul-01,12.49,Jul 01,7,2001,1,2001-07-01
56,Aug-01,12.11,Aug 01,8,2001,1,2001-08-01
57,Sep-01,12.37,Sep 01,9,2001,1,2001-09-01
58,Oct-01,12.47,Oct 01,10,2001,1,2001-10-01
59,Nov-01,12.09,Nov 01,11,2001,1,2001-11-01
60,Dec-01,11.68,Dec 01,12,2001,1,2001-12-01
61,Jan-02,11.26,Jan 02,1,2002,1,2002-01-01
62,Feb-02,11.04,Feb 02,2,2002,1,2002-02-01
63,Mar-02,11.45,Mar 02,3,2002,1,2002-03-01
64,Apr-02,11.53,Apr 02,4,2002,1,2002-04-01
65,May-02,11.23,May 02,5,2002,1,2002-05-01
66,Jun-02,11.34,Jun 02,6,2002,1,2002-06-01
67,Jul-02,11.19,Jul 02,7,2002,1,2002-07-01
68,Aug-02,11.01,Aug 02,8,2002,1,2002-08-01
69,Sep-02,11.15,Sep 02,9,2002,1,2002-09-01
70,Oct-02,11.47,Oct 02,10,2002,1,2002-10-01
71,Nov-02,11.28,Nov 02,11,2002,1,2002-11-01
72,Dec-02,11.03,Dec 02,12,2002,1,2002-12-01
73,Jan-03,10.78,Jan 03,1,2003,1,2003-01-01
74,Feb-03,11.06,Feb 03,2,2003,1,2003-02-01
75,Mar-03,11.15,Mar 03,3,2003,1,2003-03-01
76,Apr-03,11.15,Apr 03,4,2003,1,2003-04-01
77,May-03,11.91,May 03,5,2003,1,2003-05-01
78,Jun-03,12.17,Jun 03,6,2003,1,2003-06-01
79,Jul-03,11.91,Jul 03,7,2003,1,2003-07-01
80,Aug-03,12.08,Aug 03,8,2003,1,2003-08-01
81,Sep-03,12.37,Sep 03,9,2003,1,2003-09-01
82,Oct-03,12.14,Oct 03,10,2003,1,2003-10-01
83,Nov-03,11.96,Nov 03,11,2003,1,2003-11-01
84,Dec-03,11.75,Dec 03,12,2003,1,2003-12-01
85,Jan-04,11.47,Jan 04,1,2004,1,2004-01-01
86,Feb-04,11.91,Feb 04,2,2004,1,2004-02-01
87,Mar-04,11.85,Mar 04,3,2004,1,2004-03-01
88,Apr-04,11.89,Apr 04,4,2004,1,2004-04-01
89,May-04,12.02,May 04,5,2004,1,2004-05-01
90,Jun-04,12.06,Jun 04,6,2004,1,2004-06-01
91,Jul-04,12.24,Jul 04,7,2004,1,2004-07-01
92,Aug-04,12.25,Aug 04,8,2004,1,2004-08-01
93,Sep-04,11.93,Sep 04,9,2004,1,2004-09-01
94,Oct-04,11.92,Oct 04,10,2004,1,2004-10-01
95,Nov-04,11.79,Nov 04,11,2004,1,2004-11-01
96,Dec-04,11.67,Dec 04,12,2004,1,2004-12-01
97,Jan-05,12.69,Jan 05,1,2005,1,2005-01-01
98,Feb-05,13.16,Feb 05,2,2005,1,2005-02-01
99,Mar-05,12.97,Mar 05,3,2005,1,2005-03-01
100,Apr-05,13.23,Apr 05,4,2005,1,2005-04-01
101,May-05,13.37,May 05,5,2005,1,2005-05-01
102,Jun-05,13.4,Jun 05,6,2005,1,2005-06-01
103,Jul-05,13.31,Jul 05,7,2005,1,2005-07-01
104,Aug-05,13.45,Aug 05,8,2005,1,2005-08-01
105,Sep-05,14.05,Sep 05,9,2005,1,2005-09-01
106,Oct-05,13.51,Oct 05,10,2005,1,2005-10-01
107,Nov-05,14.09,Nov 05,11,2005,1,2005-11-01
108,Dec-05,13.83,Dec 05,12,2005,1,2005-12-01
109,Jan-06,15.54,Jan 06,1,2006,1,2006-01-01
110,Feb-06,16.22,Feb 06,2,2006,1,2006-02-01
111,Mar-06,15.98,Mar 06,3,2006,1,2006-03-01
112,Apr-06,16.11,Apr 06,4,2006,1,2006-04-01
113,May-06,16.05,May 06,5,2006,1,2006-05-01
114,Jun-06,15.88,Jun 06,6,2006,1,2006-06-01
115,Jul-06,15.66,Jul 06,7,2006,1,2006-07-01
116,Aug-06,16.25,Aug 06,8,2006,1,2006-08-01
117,Sep-06,16.44,Sep 06,9,2006,1,2006-09-01
118,Oct-06,15.98,Oct 06,10,2006,1,2006-10-01
119,Nov-06,15.58,Nov 06,11,2006,1,2006-11-01
120,Dec-06,16.27,Dec 06,12,2006,1,2006-12-01
121,Jan-07,17.12,Jan 07,1,2007,1,2007-01-01
122,Feb-07,16.78,Feb 07,2,2007,1,2007-02-01
123,Mar-07,17.02,Mar 07,3,2007,1,2007-03-01
124,Apr-07,17.13,Apr 07,4,2007,1,2007-04-01
125,May-07,16.6,May 07,5,2007,1,2007-05-01
126,Jun-07,17.18,Jun 07,6,2007,1,2007-06-01
127,Jul-07,16.44,Jul 07,7,2007,1,2007-07-01
128,Aug-07,16.39,Aug 07,8,2007,1,2007-08-01
129,Sep-07,16.7,Sep 07,9,2007,1,2007-09-01
130,Oct-07,16.66,Oct 07,10,2007,1,2007-10-01
131,Nov-07,16.4,Nov 07,11,2007,1,2007-11-01
132,Dec-07,16.13,Dec 07,12,2007,1,2007-12-01
133,Jan-08,16.7,Jan 08,1,2008,1,2008-01-01
134,Feb-08,16.58,Feb 08,2,2008,1,2008-02-01
135,Mar-08,16.97,Mar 08,3,2008,1,2008-03-01
136,Apr-08,17.02,Apr 08,4,2008,1,2008-04-01
137,May-08,18.08,May 08,5,2008,1,2008-05-01
138,Jun-08,17.49,Jun 08,6,2008,1,2008-06-01
139,Jul-08,17.73,Jul 08,7,2008,1,2008-07-01
140,Aug-08,18.34,Aug 08,8,2008,1,2008-08-01
141,Sep-08,18.21,Sep 08,9,2008,1,2008-09-01
142,Oct-08,18.94,Oct 08,10,2008,1,2008-10-01
143,Nov-08,18.11,Nov 08,11,2008,1,2008-11-01
144,Dec-08,18.12,Dec 08,12,2008,1,2008-12-01
145,Jan-09,17.99,Jan 09,1,2009,1,2009-01-01
146,Feb-09,18.1,Feb 09,2,2009,1,2009-02-01
147,Mar-09,17.62,Mar 09,3,2009,1,2009-03-01
148,Apr-09,17.87,Apr 09,4,2009,1,2009-04-01
149,May-09,17.97,May 09,5,2009,1,2009-05-01
150,Jun-09,18.05,Jun 09,6,2009,1,2009-06-01
151,Jul-09,17.31,Jul 09,7,2009,1,2009-07-01
152,Aug-09,16.86,Aug 09,8,2009,1,2009-08-01
153,Sep-09,17.74,Sep 09,9,2009,1,2009-09-01
154,Oct-09,17.17,Oct 09,10,2009,1,2009-10-01
155,Nov-09,17.0,Nov 09,11,2009,1,2009-11-01
156,Dec-09,16.35,Dec 09,12,2009,1,2009-12-01
157,Jan-10,16.32,Jan 10,1,2010,1,2010-01-01
158,Feb-10,16.01,Feb 10,2,2010,1,2010-02-01
159,Mar-10,16.52,Mar 10,3,2010,1,2010-03-01
160,Apr-10,16.64,Apr 10,4,2010,1,2010-04-01
161,May-10,16.29,May 10,5,2010,1,2010-05-01
162,Jun-10,16.06,Jun 10,6,2010,1,2010-06-01
163,Jul-10,15.92,Jul 10,7,2010,1,2010-07-01
164,Aug-10,16.42,Aug 10,8,2010,1,2010-08-01
165,Sep-10,16.27,Sep 10,9,2010,1,2010-09-01
166,Oct-10,16.39,Oct 10,10,2010,1,2010-10-01
167,Nov-10,16.18,Nov 10,11,2010,1,2010-11-01
168,Dec-10,15.95,Dec 10,12,2010,1,2010-12-01
169,Jan-11,15.94,Jan 11,1,2011,1,2011-01-01
170,Feb-11,15.7,Feb 11,2,2011,1,2011-02-01
171,Mar-11,15.86,Mar 11,3,2011,1,2011-03-01
172,Apr-11,15.65,Apr 11,4,2011,1,2011-04-01
173,May-11,16.16,May 11,5,2011,1,2011-05-01
174,Jun-11,16.15,Jun 11,6,2011,1,2011-06-01
175,Jul-11,15.46,Jul 11,7,2011,1,2011-07-01
176,Aug-11,16.01,Aug 11,8,2011,1,2011-08-01
177,Sep-11,16.28,Sep 11,9,2011,1,2011-09-01
178,Oct-11,15.63,Oct 11,10,2011,1,2011-10-01
179,Nov-11,15.83,Nov 11,11,2011,1,2011-11-01
180,Dec-11,16.12,Dec 11,12,2011,1,2011-12-01
181,Jan-12,15.85,Jan 12,1,2012,1,2012-01-01
182,Feb-12,15.97,Feb 12,2,2012,1,2012-02-01
183,Mar-12,16.03,Mar 12,3,2012,1,2012-03-01
184,Apr-12,15.67,Apr 12,4,2012,1,2012-04-01
185,May-12,15.99,May 12,5,2012,1,2012-05-01
186,Jun-12,15.96,Jun 12,6,2012,1,2012-06-01
187,Jul-12,15.42,Jul 12,7,2012,1,2012-07-01
188,Aug-12,15.22,Aug 12,8,2012,1,2012-08-01
189,Sep-12,15.84,Sep 12,9,2012,1,2012-09-01
190,Oct-12,15.61,Oct 12,10,2012,1,2012-10-01
191,Nov-12,15.36,Nov 12,11,2012,1,2012-11-01
192,Dec-12,15.83,Dec 12,12,2012,1,2012-12-01
193,Jan-13,15.35,Jan 13,1,2013,1,2013-01-01
194,Feb-13,15.75,Feb 13,2,2013,1,2013-02-01
195,Mar-13,15.72,Mar 13,3,2013,1,2013-03-01
196,Apr-13,15.85,Apr 13,4,2013,1,2013-04-01
197,May-13,16.37,May 13,5,2013,1,2013-05-01
198,Jun-13,16.2,Jun 13,6,2013,1,2013-06-01
199,Jul-13,15.69,Jul 13,7,2013,1,2013-07-01
200,Aug-13,16.3,Aug 13,8,2013,1,2013-08-01
201,Sep-13,16.38,Sep 13,9,2013,1,2013-09-01
202,Oct-13,16.39,Oct 13,10,2013,1,2013-10-01
203,Nov-13,16.55,Nov 13,11,2013,1,2013-11-01
204,Dec-13,18.26,Dec 13,12,2013,1,2013-12-01
205,Jan-14,16.94,Jan 14,1,2014,1,2014-01-01
206,Feb-14,17.77,Feb 14,2,2014,1,2014-02-01
207,Mar-14,17.66,Mar 14,3,2014,1,2014-03-01
208,Apr-14,18.29,Apr 14,4,2014,1,2014-04-01
209,May-14,18.17,May 14,5,2014,1,2014-05-01
210,Jun-14,17.62,Jun 14,6,2014,1,2014-06-01
211,Jul-14,17.2,Jul 14,7,2014,1,2014-07-01
212,Aug-14,18.09,Aug 14,8,2014,1,2014-08-01
213,Sep-14,17.62,Sep 14,9,2014,1,2014-09-01
214,Oct-14,17.82,Oct 14,10,2014,1,2014-10-01
215,Nov-14,18.01,Nov 14,11,2014,1,2014-11-01
216,Dec-14,19.01,Dec 14,12,2014,1,2014-12-01
217,Jan-15,19.88,Jan 15,1,2015,1,2015-01-01
218,Feb-15,20.74,Feb 15,2,2015,1,2015-02-01
219,Mar-15,20.71,Mar 15,3,2015,1,2015-03-01
220,Apr-15,20.69,Apr 15,4,2015,1,2015-04-01
221,May-15,20.45,May 15,5,2015,1,2015-05-01
222,Jun-15,19.74,Jun 15,6,2015,1,2015-06-01
223,Jul-15,18.4,Jul 15,7,2015,1,2015-07-01
224,Aug-15,18.08,Aug 15,8,2015,1,2015-08-01
225,Sep-15,18.6,Sep 15,9,2015,1,2015-09-01
226,Oct-15,18.58,Oct 15,10,2015,1,2015-10-01
227,Nov-15,18.55,Nov 15,11,2015,1,2015-11-01
228,Dec-15,18.8,Dec 15,12,2015,1,2015-12-01
229,Jan-16,18.81,Jan 16,1,2016,1,2016-01-01
230,Feb-16,19.25,Feb 16,2,2016,1,2016-02-01
231,Mar-16,19.23,Mar 16,3,2016,1,2016-03-01
232,Apr-16,19.5,Apr 16,4,2016,1,2016-04-01
233,May-16,19.15,May 16,5,2016,1,2016-05-01
234,Jun-16,18.85,Jun 16,6,2016,1,2016-06-01
235,Jul-16,18.22,Jul 16,7,2016,1,2016-07-01
236,Aug-16,18.09,Aug 16,8,2016,1,2016-08-01
237,Sep-16,19.01,Sep 16,9,2016,1,2016-09-01
238,Oct-16,18.81,Oct 16,10,2016,1,2016-10-01
239,Nov-16,18.87,Nov 16,11,2016,1,2016-11-01
240,Dec-16,18.4,Dec 16,12,2016,1,2016-12-01
241,Jan-17,18.34,Jan 17,1,2017,1,2017-01-01
242,Feb-17,18.81,Feb 17,2,2017,1,2017-02-01
243,Mar-17,18.6,Mar 17,3,2017,1,2017-03-01
244,Apr-17,19.18,Apr 17,4,2017,1,2017-04-01
245,May-17,18.86,May 17,5,2017,1,2017-05-01
246,Jun-17,18.74,Jun 17,6,2017,1,2017-06-01
247,Jul-17,18.79,Jul 17,7,2017,1,2017-07-01
248,Aug-17,18.88,Aug 17,8,2017,1,2017-08-01
249,Sep-17,19.29,Sep 17,9,2017,1,2017-09-01
250,Oct-17,19.53,Oct 17,10,2017,1,2017-10-01
251,Nov-17,19.44,Nov 17,11,2017,1,2017-11-01
252,Dec-17,18.97,Dec 17,12,2017,1,2017-12-01
